claim,image_id,label
BIDEN: Ground Zero in New York — I remember standing there the next day and looking at the building. I felt like I was looking through the gates of hell.,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/0.jpg,False
When your real name is Jared but you put Jerome on the paper so you could sneak in cuz you always wanted to dance on the Soul Train line.,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/1.jpg,False
The war in Ukraine is FAKE.,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/2.jpg,False
Who is excited to bring their pets to Disney World?!,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/3.jpg,False
that honey bees are endangered,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/4.jpg,False
PLANNED PARENTHOOD FINALLY ADMITS: OUR FOUNDING ROOTED IN RACISM,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/5.jpg,False
A Tweet is now officially referred to as a Xeet according to X's new help center page.,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/6.jpg,False
Oliver Anthony Turns Down $100K to Sing the National Anthem: “I Sing That Song For Free”,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/7.jpg,False
Beyoncé did NOT say Lizzo’s name tonight,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/8.jpg,False
"Two 1,000 year old alleged alien corpses were shown to Mexico congress yesterday, originally found in Peru.",dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/9.jpg,False
5 MINUTES AGO: The Rock PANICS After His LIES About Maui Gets LEAKED,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/10.jpg,False
Ron DeSantis just lost the Republican primary.,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/11.jpg,False
"It's with heavy hearts that we announce the passing of our friend and colleague, Gary Detman. ",dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/12.jpg,False
"Thanks to @ChuckGrassley’s whistleblowers, we know through the release of the FD-1023 form that the Burisma CEO made two $5,000,000 payments to both Hunter and Joe Biden.",dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/13.jpg,False
Disney Requiring Guests to Wear Pronoun Pins,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/14.jpg,False
Actor Arthur Roberts aka Joe Biden..I usually never believe this shit but it’s on IMDb…,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/15.jpg,False
Jada Pinkett's PANICS as Her SICKENING Role In Maui Fires LEAKS,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/16.jpg,False
BREAKING: CDC has stated that Americans who have received mRNA COVID vaccines are now at a higher risk of infection from new variants of the virus than those who are unvaccinated.,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/17.jpg,False
"Puerto  Ricaanse vissers uit Gran Canaria vingen de grootste kreeft ter wereld.  Zijn gewicht is 150 kg, en de lengte, exclusief de snor, is 2m 60 cm.",dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/18.jpg,False
Is this real????,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/19.jpg,False
This is Elon musk and his parent. They had a black women helper. Who was not allowed to seat on their sofas. Who was not allowed to ask any questions. Elon musk is a racist white man like his parents.,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/20.jpg,False
Hank Williams Jr Resigns From CMT’s Board of Directors: “I Support Jason Aldean”,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/21.jpg,False
WE KNEW. WE FUCKING KNEW THE RUSSIANS WE'RE GUNNA HAVE SOMETHING CRAZY. ,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/22.jpg,False
"TRUMP Visits Maui Hawaii, A Real President Truly cares.",dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/23.jpg,False
Based on a true story,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/24.jpg,False
OMG I can not believe this!! Dad ran away!!,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/25.jpg,False
"At their peak, there were 35,000 giants in the UK. Now there are less than 85. ",dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/26.jpg,False
"Hippos can’t technically swim, and their high density prevents them from floating. Consequently, ",dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/27.jpg,False
Serenity Nebula by Hubble.,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/28.jpg,False
BREAKING: Tucker Carlson Partners with Oliver Anthony in $10 Million Lawsuit Against Fox News,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/29.jpg,False
Breaking: Oliver Anthony To Join Kid Rock And Jason Aldean For ‘You Can’t Cancel America’ Tour,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/30.jpg,False
"FACT FOCUS: No head trauma or suspicious circumstances in drowning of Obamas’ chef, police say",dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/31.jpg,False
A broken thigh bone that has healed is a sign of a civilised society said Margaret Mead the #anthropologist Via #whatsappwonderbox,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/32.jpg,False
TIL that everyone wears Crocs in the 2006 movie Idiocracy because the costume designer had a limited shoe budget,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/33.jpg,False
How many hundreds of thousands or millions of people have you let in through the border also? ,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/34.jpg,False
Mickey Mouse Is Officially Being Retired,dataset/mr2/dataset/mr2/dataset/mr2/dataset/mr2/test/image/35.jpg,False
