claim,image_id,claim_url,image_url,veracity,label
Fifteen homeless people in Chicago were found dead on the street because of record-low temperatures that hit the city in late January 2019.,dataset/fauxtography/both/snopes015-homeless-dead-in-chicago.jpg,https://www.snopes.com/fact-check/15-homeless-dead-in-chicago/,"https://www.snopes.com/tachyon/2019/01/shutterstock_1285453522.jpg?resize=865,452",False,False
A photograph shows a mountain resembling a turtle. ,dataset/fauxtography/both/snopes1turtle-mountain-photo.jpg,https://www.snopes.com/fact-check/turtle-mountain-photo/,"https://www.snopes.com/tachyon/2019/01/turtle-mountain.jpg?resize=600,840",False,False
A photograph shows four Democratic congresswomen posing with a portrait of Osama bin Laden and an ISIS flag.,dataset/fauxtography/both/snopes2darlings-democratic-party.jpg,https://www.snopes.com/fact-check/darlings-democratic-party/,"https://www.snopes.com/tachyon/2019/01/darlings.jpg?resize=600,711",False,False
A photograph shows medalist Jim Thorpe wearing mismatched shoes at the 1912 Olympics. ,dataset/fauxtography/both/snopes3jim-thorpe-shoes-olympics.jpg,https://www.snopes.com/fact-check/jim-thorpe-shoes-olympics/,"https://www.snopes.com/tachyon/2019/01/jim-thorpe-fb-post.jpg?resize=800,649",True,True
A photograph shows a Covington Catholic High School basketball game with students wearing blackface and/or black body paint in the stands. ,dataset/fauxtography/both/snopes4covington-catholic-black-paint.jpg,https://www.snopes.com/fact-check/covington-catholic-black-paint/,"https://www.snopes.com/tachyon/2019/01/covington-crazies.jpg?resize=842,728",True,True
Photographs capture the archeological discovery of skeletal remains of giant humanoids. ,dataset/fauxtography/both/snopes5giant-human-skeleton-photographs.jpg,https://www.snopes.com/fact-check/giant-human-skeleton-photographs/,"https://www.snopes.com/tachyon/2019/01/giantland.jpg?resize=1333,974",False,False
A photograph shows a woman snorting cocaine with her toddler.,dataset/fauxtography/both/snopes6mother-toddler-cocaine.jpg,https://www.snopes.com/fact-check/mother-toddler-cocaine/,"https://www.snopes.com/tachyon/2018/01/cocaineline.jpg?resize=865,452",False,False
A photograph shows a piece of racist memorabilia on Elizabeth Warren's kitchen shelf.,dataset/fauxtography/both/snopes7elizabeth-warren-memorabilia-shelf.jpg,https://www.snopes.com/fact-check/elizabeth-warren-memorabilia-shelf/,"https://www.snopes.com/tachyon/2019/01/tomi-lahren.png?resize=600,360",False,False
A photograph shows a massive amethyst geode from Uruguay.,dataset/fauxtography/both/snopes8giant-amethyst-geode-picture.jpg,https://www.snopes.com/fact-check/giant-amethyst-geode-picture/,"https://www.snopes.com/tachyon/2019/01/geode.png?resize=865,452",True,True
A photograph shows Barack Obama dressed as Lucifer for an 'Illuminati ritual.',dataset/fauxtography/both/snopes9barack-obama-illuminati-photo.jpg,https://www.snopes.com/fact-check/barack-obama-illuminati-photo/,"https://www.snopes.com/tachyon/2018/06/obama-dressed-as-satan-viral-m16618.jpg?resize=600,329",False,False
